Shipping_Country,Shipping_State,Shipping_City,City_Join_Key,State_Join_Key,order_weight,revenue_weight,level
US,Wisconsin,Madison,madison,wisconsin,0.0026014823540961075,0.002390684981253159,country
US,Indiana,Fort Wayne,fort wayne,indiana,0.002061552054189368,0.0023627063202667784,country
US,New Jersey,Morristown,morristown,new jersey,0.002110636626908163,0.0023475083029467843,country
US,Georgia,Decatur,decatur,georgia,0.002257890345064546,0.0023092422536318195,country
US,Nevada,Reno,reno,nevada,0.002454228635939724,0.0022860983399526553,country
US,Maryland,Rockville,rockville,maryland,0.0026014823540961075,0.002269323067625486,country
US,Maryland,Annapolis,annapolis,maryland,0.002257890345064546,0.002238114014940562,country
US,Tennessee,Chattanooga,chattanooga,tennessee,0.002061552054189368,0.002126399915446123,country
US,New Jersey,Westfield,westfield,new jersey,0.001963382908751779,0.0021114837443817064,country
US,Michigan,Bloomfield Hills,bloomfield hills,michigan,0.0015216217542826289,0.0020951962828814987,country
US,Pennsylvania,Lancaster,lancaster,pennsylvania,0.002061552054189368,0.0020920471929874486,country
CA,Alberta,Calgary,calgary,alberta,0.08056872037914692,0.0722393952124198,country
US,Massachusetts,Somerville,somerville,massachusetts,0.002257890345064546,0.0020111085365539685,country
US,Illinois,Evanston,evanston,illinois,0.002012467481470574,0.0020040732204051268,country
CA,Ontario,Toronto,toronto,ontario,0.05529225908372828,0.07125800800771839,country
US,Pennsylvania,West Chester,west chester,pennsylvania,0.001717960045157807,0.0019444085361474597,country
US,Connecticut,New Canaan,new canaan,connecticut,0.0015707063270014234,0.0019304300458948685,country
US,Oregon,Lake Oswego,lake oswego,oregon,0.001963382908751779,0.0019122672227710096,country
US,Colorado,Littleton,littleton,colorado,0.002012467481470574,0.0018870311426562114,country
US,Idaho,Boise,boise,idaho,0.0018652137633141904,0.0018861259825661831,country
US,Connecticut,Stamford,stamford,connecticut,0.001963382908751779,0.0018750255761926637,country
US,Pennsylvania,Doylestown,doylestown,pennsylvania,0.0016197908997202179,0.001874087895380838,country
US,Hawaii,Ewa Beach,ewa beach,hawaii,0.001128945172532273,0.0018731556346893118,country
US,Illinois,Wilmette,wilmette,illinois,0.0015707063270014234,0.0018613126718347514,country
US,Utah,Salt Lake City,salt lake city,utah,0.0018652137633141904,0.001857811274121229,country
US,Ohio,Dublin,dublin,ohio,0.0017670446178766014,0.0018466783470259122,country
US,Alabama,Mobile,mobile,alabama,0.0017670446178766014,0.0018350034079006384,country
US,Connecticut,Fairfield,fairfield,connecticut,0.001816129190595396,0.0018027157512760994,country
US,Missouri,Chesterfield,chesterfield,missouri,0.0016197908997202179,0.001783647768062212,country
CA,Ontario,Ottawa,ottawa,ontario,0.0679304897314376,0.062127326502970974,country
US,Ohio,Cleveland,cleveland,ohio,0.0015707063270014234,0.0017326877970056545,country
US,Louisiana,Metairie,metairie,louisiana,0.00142345260884504,0.001727034611533203,country
US,Rhode Island,Providence,providence,rhode island,0.001717960045157807,0.0017087850664845507,country
US,Indiana,Bloomington,bloomington,indiana,0.0018652137633141904,0.0016136782155879948,country
US,Colorado,Fort Collins,fort collins,colorado,0.0016688754724390124,0.0016121714221447145,country
US,New Jersey,Princeton,princeton,new jersey,0.0017670446178766014,0.001610816392069822,country
US,New York,New York,new york,new york,0.0016688754724390124,0.0015873743717741817,country
US,Connecticut,Norwalk,norwalk,connecticut,0.002552397781377313,0.001575948758182688,country
US,Illinois,Downers Grove,downers grove,illinois,0.00142345260884504,0.0015535853418266617,country
US,Colorado,Aurora,aurora,colorado,0.001816129190595396,0.0015531842529244938,country
US,Arizona,Gilbert,gilbert,arizona,0.001816129190595396,0.0015526314006539376,country
US,Arkansas,Bentonville,bentonville,arkansas,0.0015707063270014234,0.0015266907049001953,country
US,Arizona,Mesa,mesa,arizona,0.0016197908997202179,0.0014723973598594021,country
US,Texas,Houston,houston,texas,0.0012761988906886566,0.0014324998543342668,country
US,Oregon,Eugene,eugene,oregon,0.0015707063270014234,0.0014220444422763962,country
US,Minnesota,Plymouth,plymouth,minnesota,0.00142345260884504,0.0014024127665513537,country
US,Oregon,Beaverton,beaverton,oregon,0.0015707063270014234,0.0013954912729288026,country
CA,British Columbia,Vancouver,vancouver,british columbia,0.04739336492890995,0.04957239833056161,country
CA,British Columbia,Surrey,surrey,british columbia,0.05055292259083728,0.04848299681087735,country
US,Alabama,Madison,madison,alabama,0.001325283463407451,0.001357263164455935,country
US,Kansas,Olathe,olathe,kansas,0.001227114317969862,0.0013380813587157566,country
US,Oklahoma,Norman,norman,oklahoma,0.001325283463407451,0.001322926702358159,country
US,Missouri,Springfield,springfield,missouri,0.001128945172532273,0.0013100972776090764,country
US,Hawaii,Kailua,kailua,hawaii,0.001128945172532273,0.0012939886800787544,country
US,Missouri,Saint Charles,saint charles,missouri,0.001128945172532273,0.0012922379812219933,country
CA,British Columbia,Burnaby,burnaby,british columbia,0.044233807266982623,0.04496963833335455,country
US,Michigan,Plymouth,plymouth,michigan,0.0012761988906886566,0.0012503838122687133,country
CA,Quebec,Montreal,montreal,quebec,0.05055292259083728,0.04414352170644101,country
