Shipping_Country,Shipping_State,Shipping_City,City_Join_Key,State_Join_Key,order_weight,revenue_weight,level
CA,British Columbia,Burnaby,burnaby,british columbia,0.016666666666666666,0.016545740371243726,state
US,Oregon,Lake Oswego,lake oswego,oregon,0.007594936708860759,0.009864904939009022,state
CA,New Brunswick,Dieppe,dieppe,new brunswick,0.5,0.5598913913739688,state
US,Nebraska,Lincoln,lincoln,nebraska,0.018867924528301886,0.03079905651893094,state
UK,England,Brighton,brighton,england,0.020100502512562814,0.022302818446504072,state
US,Wyoming,Cody,cody,wyoming,0.12903225806451613,0.09361672640683369,state
US,Ohio,Columbus,columbus,ohio,0.012165450121654502,0.007159661930708288,state
US,Pennsylvania,Philadelphia,philadelphia,pennsylvania,0.007233273056057866,0.0059779437101351056,state
CA,Saskatchewan,Saskatoon,saskatoon,saskatchewan,0.5,0.4420016911369052,state
CA,Ontario,Guelph,guelph,ontario,0.01276595744680851,0.014830360807577037,state
US,Utah,Eagle Mountain,eagle mountain,utah,0.03409090909090909,0.03288664315746957,state
US,California,Oakland,oakland,california,0.0015090543259557343,0.0016493982371669769,state
CA,British Columbia,North Vancouver,north vancouver,british columbia,0.0125,0.013690872080133826,state
US,South Dakota,Madison,madison,south dakota,0.1111111111111111,0.0952824475601248,state
US,New Jersey,Princeton,princeton,new jersey,0.008522727272727272,0.008594437212497329,state
US,Indiana,Indianapolis,indianapolis,indiana,0.011235955056179775,0.01014489801035568,state
US,Virginia,Virginia Beach,virginia beach,virginia,0.007692307692307693,0.004463631686421324,state
CA,Quebec,Montreal,montreal,quebec,0.06976744186046512,0.07531420189625668,state
UK,Wales,Cardiff,cardiff,wales,0.3,0.2665142304352128,state
CA,Alberta,Edmonton,edmonton,alberta,0.034482758620689655,0.036848032659956356,state
US,Arizona,Scottsdale,scottsdale,arizona,0.0111731843575419,0.0073543048342889425,state
US,Georgia,Atlanta,atlanta,georgia,0.005494505494505495,0.004269688882260579,state
US,Arizona,Mesa,mesa,arizona,0.00558659217877095,0.0071318801379405905,state
US,Arkansas,Little Rock,little rock,arkansas,0.016666666666666666,0.015532841010252972,state
CA,Alberta,St. Albert,st. albert,alberta,0.04597701149425287,0.03457725983210971,state
US,Virginia,Alexandria,alexandria,virginia,0.004615384615384616,0.0039005353927891737,state
US,Kentucky,Louisville,louisville,kentucky,0.012448132780082987,0.009920748802401819,state
US,Wyoming,Casper,casper,wyoming,0.0967741935483871,0.07030546228810089,state
US,Illinois,Downers Grove,downers grove,illinois,0.002336448598130841,0.002782639844137001,state
US,Idaho,Coeur D'Alene,coeur d'alene,idaho,0.036585365853658534,0.02588265035504475,state
CA,Ontario,Markham,markham,ontario,0.01276595744680851,0.011298953743214045,state
US,Alaska,Wasilla,wasilla,alaska,0.08333333333333333,0.06435825426944972,state
US,Maryland,Rockville,rockville,maryland,0.009146341463414634,0.006884947518192901,state
US,Hawaii,Kaneohe,kaneohe,hawaii,0.011450381679389313,0.007173862560511603,state
US,Alabama,Huntsville,huntsville,alabama,0.008968609865470852,0.008915568039519685,state
US,Minnesota,Saint Paul,saint paul,minnesota,0.011111111111111112,0.008618710583813825,state
CA,Quebec,Dorval,dorval,quebec,0.046511627906976744,0.05689653648924483,state
US,North Dakota,Grand Forks,grand forks,north dakota,0.06060606060606061,0.053059530408670924,state
US,Massachusetts,Somerville,somerville,massachusetts,0.0021119324181626186,0.003357712302578953,state
US,South Dakota,Aberdeen,aberdeen,south dakota,0.07407407407407407,0.06486501800822322,state
UK,Scotland,Dunfermline,dunfermline,scotland,0.11764705882352941,0.11812852488190419,state
UK,Scotland,Aberdeen,aberdeen,scotland,0.11764705882352941,0.11726488792347652,state
US,Virginia,Richmond,richmond,virginia,0.003076923076923077,0.0030911278659067065,state
US,Utah,Salt Lake City,salt lake city,utah,0.022727272727272728,0.02056919724231794,state
US,Florida,Tampa,tampa,florida,0.0017316017316017316,0.0014383550968827261,state
CA,Quebec,Cote-Saint-Luc,cote-saint-luc,quebec,0.023255813953488372,0.05074946025312877,state
UK,Wales,Aberdare,aberdare,wales,0.1,0.18704585179240826,state
UK,Northern Ireland,Newry,newry,northern ireland,0.4,0.4075007878978884,state
CA,Quebec,Blainville,blainville,quebec,0.046511627906976744,0.04792186409276872,state
US,Virginia,Fairfax,fairfax,virginia,0.003076923076923077,0.0028149607255957467,state
US,Arkansas,Bentonville,bentonville,arkansas,0.011111111111111112,0.011072145212762688,state
US,Kansas,Wichita,wichita,kansas,0.012738853503184714,0.010646329302001835,state
US,Indiana,Bloomington,bloomington,indiana,0.003745318352059925,0.006204317791457192,state
US,Oregon,Salem,salem,oregon,0.005063291139240506,0.004751996891351907,state
US,Pennsylvania,West Chester,west chester,pennsylvania,0.003616636528028933,0.00321006267070339,state
US,New York,Bronx,bronx,new york,0.0006615944426066821,0.0005639253668249749,state
US,Oklahoma,Tulsa,tulsa,oklahoma,0.006289308176100629,0.0057502918882855495,state
US,Texas,Fort Worth,fort worth,texas,0.0012610340479192938,0.0010053006228772522,state
CA,New Brunswick,Moncton,moncton,new brunswick,0.3333333333333333,0.2691370487694503,state
US,Iowa,Des Moines,des moines,iowa,0.024691358024691357,0.02084355076017656,state
CA,Saskatchewan,Saskatoon,saskatoon,saskatchewan,0.16666666666666666,0.23437620109155197,state
US,South Carolina,Greenville,greenville,south carolina,0.006779661016949152,0.005005092012111323,state
US,Wisconsin,Milwaukee,milwaukee,wisconsin,0.0125,0.01036483333770758,state
US,New Mexico,Albuquerque,albuquerque,new mexico,0.017094017094017096,0.012287871072668459,state
US,Maryland,Silver Spring,silver spring,maryland,0.006097560975609756,0.004650183542004123,state
CA,Quebec,Blainville,blainville,quebec,0.023255813953488372,0.035121100641805424,state
CA,Saskatchewan,Yellow Grass,yellow grass,saskatchewan,0.16666666666666666,0.18082865708355753,state
US,Oregon,Eugene,eugene,oregon,0.005063291139240506,0.0035273050342895674,state
US,New York,Staten Island,staten island,new york,0.0006615944426066821,0.000399109050082064,state
UK,Scotland,Banchory,banchory,scotland,0.058823529411764705,0.07179309352141428,state
US,California,San Diego,san diego,california,0.001006036217303823,0.0006366519863998357,state
