Date,Region,Type,Value,Lat,Lon
2024-02-17,CAN,sales_revenue,138.08,,
2024-02-17,CAN,sales_units,2.0,,
2024-02-17,US,sales_revenue,5305.2,,
2024-02-17,US,sales_units,76.0,,
2024-02-18,US,sales_revenue,10558.72,,
2024-02-18,US,sales_units,142.0,,
2024-02-19,CAN,sales_revenue,137.96,,
2024-02-19,CAN,sales_units,2.0,,
2024-02-19,US,sales_revenue,8899.88,,
2024-02-19,US,sales_units,122.0,,
2024-02-20,US,sales_revenue,10716.82,,
2024-02-20,US,sales_units,146.0,,
2024-02-21,US,sales_revenue,4491.02,,
2024-02-21,US,sales_units,66.0,,
2024-02-22,CAN,sales_revenue,137.76,,
2024-02-22,CAN,sales_units,2.0,,
2024-02-22,US,sales_revenue,4353.76,,
2024-02-22,US,sales_units,62.0,,
2024-02-23,CAN,sales_revenue,148.04,,
2024-02-23,CAN,sales_units,2.0,,
2024-02-23,US,sales_revenue,7579.42,,
2024-02-23,US,sales_units,106.0,,
2024-02-24,US,sales_revenue,8832.38,,
2024-02-24,US,sales_units,120.0,,
2024-02-25,CAN,sales_revenue,266.9,,
2024-02-25,CAN,sales_units,4.0,,
2024-02-25,US,sales_revenue,5735.139999999999,,
2024-02-25,US,sales_units,82.0,,
2024-02-26,US,sales_revenue,5549.98,,
2024-02-26,US,sales_units,74.0,,
2024-02-27,CAN,sales_revenue,611.74,,
2024-02-27,CAN,sales_units,8.0,,
2024-02-27,US,sales_revenue,11497.0,,
2024-02-27,US,sales_units,160.0,,
2024-02-28,CAN,sales_revenue,643.8199999999999,,
2024-02-28,CAN,sales_units,8.0,,
2024-02-28,US,sales_revenue,10084.64,,
2024-02-28,US,sales_units,142.0,,
2024-02-29,CAN,sales_revenue,345.86,,
2024-02-29,CAN,sales_units,4.0,,
2024-02-29,US,sales_revenue,10273.54,,
2024-02-29,US,sales_units,150.0,,
2024-03-01,CAN,sales_revenue,147.0,,
2024-03-01,CAN,sales_units,2.0,,
2024-03-01,US,sales_revenue,9069.48,,
2024-03-01,US,sales_units,116.0,,
2024-03-02,CAN,sales_revenue,687.9,,
2024-03-02,CAN,sales_units,10.0,,
2024-03-02,US,sales_revenue,13850.84,,
2024-03-02,US,sales_units,188.0,,
2024-03-03,US,sales_revenue,10976.82,,
2024-03-03,US,sales_units,152.0,,
2024-03-04,CAN,sales_revenue,274.76,,
2024-03-04,CAN,sales_units,4.0,,
2024-03-04,US,sales_revenue,7556.0,,
2024-03-04,US,sales_units,104.0,,
2024-03-05,CAN,sales_revenue,268.44,,
2024-03-05,CAN,sales_units,4.0,,
2024-03-05,US,sales_revenue,14664.22,,
2024-03-05,US,sales_units,214.0,,
2024-03-06,CAN,sales_revenue,265.08,,
2024-03-06,CAN,sales_units,4.0,,
2024-03-06,US,sales_revenue,17667.56,,
2024-03-06,US,sales_units,258.0,,
2024-03-07,CAN,sales_revenue,295.48,,
2024-03-07,CAN,sales_units,4.0,,
2024-03-07,US,sales_revenue,11146.36,,
2024-03-07,US,sales_units,158.0,,
2024-03-08,CAN,sales_revenue,138.0,,
2024-03-08,CAN,sales_units,2.0,,
2024-03-08,US,sales_revenue,7651.44,,
2024-03-08,US,sales_units,104.0,,
2024-03-09,CAN,sales_revenue,306.9,,
2024-03-09,CAN,sales_units,4.0,,
2024-03-09,US,sales_revenue,13680.34,,
2024-03-09,US,sales_units,186.0,,
2024-03-10,CAN,sales_revenue,305.18,,
2024-03-10,CAN,sales_units,4.0,,
2024-03-10,US,sales_revenue,8854.02,,
2024-03-10,US,sales_units,124.0,,
2024-03-11,CAN,sales_revenue,159.78,,
2024-03-11,CAN,sales_units,2.0,,
2024-03-11,US,sales_revenue,6915.46,,
2024-03-11,US,sales_units,96.0,,
2024-03-12,CAN,sales_revenue,276.2,,
2024-03-12,CAN,sales_units,4.0,,
2024-03-12,US,sales_revenue,5754.0,,
2024-03-12,US,sales_units,76.0,,
2024-03-13,CAN,sales_revenue,137.96,,
2024-03-13,CAN,sales_units,2.0,,
2024-03-13,US,sales_revenue,3278.02,,
2024-03-13,US,sales_units,48.0,,
2024-03-14,CAN,sales_revenue,148.22,,
2024-03-14,CAN,sales_units,2.0,,
2024-03-14,US,sales_revenue,6244.0,,
2024-03-14,US,sales_units,96.0,,
2024-03-15,US,sales_revenue,5885.92,,
2024-03-15,US,sales_units,86.0,,
2024-03-16,US,sales_revenue,7514.5,,
2024-03-16,US,sales_units,106.0,,
2024-03-17,CAN,sales_revenue,314.76,,
2024-03-17,CAN,sales_units,4.0,,
2024-03-17,US,sales_revenue,7206.8,,
2024-03-17,US,sales_units,106.0,,
