City,State,Lat,Lon,Marketing_Action,Rain_Amount,Yesterday_Rain,Max_UV_Index,Logic_Summary
Wichita,Kansas,37.6922,-97.3375,Baseline,0.016,0.000,7.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.7 (threshold 8) | No marketing threshold met.
Overland Park,Kansas,38.9822,-94.6708,Baseline,0.000,0.091,7.50,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.091 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Olathe,Kansas,38.8814,-94.8191,Baseline,0.000,0.091,7.50,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.091 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Lawrence,Kansas,38.9717,-95.2352,Baseline,0.000,0.118,7.50,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.118 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Leawood,Kansas,38.9667,-94.6169,Baseline,0.000,0.083,7.45,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.083 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Louisville,Kentucky,38.2542,-85.7594,Baseline,0.197,0.252,6.55,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.197 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.252 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.5 (threshold 8) | No marketing threshold met.
Lexington,Kentucky,37.9887,-84.4777,Baseline,0.075,0.106,6.55,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.075 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.106 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.5 (threshold 8) | No marketing threshold met.
Bowling Green,Kentucky,36.9903,-86.4436,Baseline,0.000,0.008,7.35,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.008 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | No marketing threshold met.
Paducah,Kentucky,37.0834,-88.6000,Baseline,0.000,0.000,6.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.3 (threshold 8) | No marketing threshold met.
Middlesboro,Kentucky,36.6084,-83.7166,Scale Umbrellas,0.638,0.024,7.10,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.638 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.024 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.1 (threshold 8) | Triggered by: forecast precip ≥ 0.50 in
Baton Rouge,Louisiana,30.4433,-91.1875,Sun Protection (Hats/Shirts),0.000,0.047,8.10,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.047 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.1 (threshold 8) | Triggered by: UV 8.1
New Orleans,Louisiana,29.9547,-90.0751,Sun Protection (Hats/Shirts),0.000,0.020,8.15,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.2 (threshold 8) | Triggered by: UV 8.2
Lafayette,Louisiana,30.2241,-92.0198,Sun Protection (Hats/Shirts),0.000,0.000,8.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.2 (threshold 8) | Triggered by: UV 8.2
Shreveport,Louisiana,32.5251,-93.7502,Sun Protection (Hats/Shirts),0.000,0.000,8.05,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.1 (threshold 8) | Triggered by: UV 8.1
Metairie,Louisiana,29.9841,-90.1529,Sun Protection (Hats/Shirts),0.000,0.020,8.15,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.2 (threshold 8) | Triggered by: UV 8.2
Reading,Massachusetts,42.5256,-71.0953,Baseline,0.000,0.000,1.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 1.2 (threshold 8) | No marketing threshold met.
Boston,Massachusetts,42.3584,-71.0598,Scale Umbrellas,0.220,0.000,3.55,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.220 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 3.5 (threshold 8) | Triggered by: forecast precip ≥ 0.20 in
Cambridge,Massachusetts,42.3751,-71.1056,Baseline,0.146,0.000,3.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.146 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 3.2 (threshold 8) | No marketing threshold met.
Berkley,Massachusetts,41.8459,-71.0828,Baseline,0.118,0.000,1.55,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.118 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 1.6 (threshold 8) | No marketing threshold met.
Somerville,Massachusetts,42.3876,-71.0995,Baseline,0.102,0.000,3.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.102 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 3.2 (threshold 8) | No marketing threshold met.
Baltimore,Maryland,39.2904,-76.6122,Scale Umbrellas (Residual Demand),0.000,0.559,6.90,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.559 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.9 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Bethesda,Maryland,38.9807,-77.1003,Baseline,0.000,0.500,5.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.500 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 5.8 (threshold 8) | No marketing threshold met.
Silver Spring,Maryland,38.9907,-77.0261,Baseline,0.000,0.500,5.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.500 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 5.7 (threshold 8) | No marketing threshold met.
Rockville,Maryland,39.0840,-77.1528,Scale Umbrellas (Residual Demand),0.055,0.642,5.40,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.055 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.642 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 5.4 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Annapolis,Maryland,38.9786,-76.4918,Baseline,0.000,0.461,5.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.461 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 5.3 (threshold 8) | No marketing threshold met.
Portland,Maine,43.6574,-70.2589,Baseline,0.043,0.000,0.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.043 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.7 (threshold 8) | No marketing threshold met.
Scarborough,Maine,43.5781,-70.3217,Baseline,0.083,0.000,0.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.083 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.7 (threshold 8) | No marketing threshold met.
Falmouth,Maine,43.7295,-70.2420,Baseline,0.016,0.000,0.80,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.8 (threshold 8) | No marketing threshold met.
Bangor,Maine,44.7988,-68.7726,Baseline,0.016,0.000,0.90,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.9 (threshold 8) | No marketing threshold met.
Eliot,Maine,43.1531,-70.8001,Baseline,0.071,0.000,0.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.071 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.6 (threshold 8) | No marketing threshold met.
Ann Arbor,Michigan,42.2776,-83.7409,Scale Umbrellas (Residual Demand),0.000,0.524,6.80,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.524 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Grand Rapids,Michigan,42.9634,-85.6681,Baseline,0.000,0.055,6.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.055 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.7 (threshold 8) | No marketing threshold met.
Bloomfield Hills,Michigan,42.5836,-83.2455,Baseline,0.000,0.280,6.80,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.280 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Plymouth,Michigan,42.3714,-83.4702,Scale Umbrellas (Residual Demand),0.000,0.579,6.80,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.579 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Macomb,Michigan,42.7009,-82.9591,Baseline,0.000,0.354,6.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.354 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Minneapolis,Minnesota,44.9800,-93.2638,Baseline,0.000,0.016,6.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.016 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Saint Paul,Minnesota,44.9444,-93.0933,Baseline,0.000,0.020,6.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.7 (threshold 8) | No marketing threshold met.
Plymouth,Minnesota,45.0105,-93.4555,Baseline,0.000,0.024,6.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.024 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.7 (threshold 8) | No marketing threshold met.
Minnetonka,Minnesota,44.9133,-93.5033,Baseline,0.000,0.024,6.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.024 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Eden Prairie,Minnesota,44.8547,-93.4708,Baseline,0.000,0.024,6.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.024 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Saint Louis,Missouri,38.6517,-90.2053,Baseline,0.000,0.165,7.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.165 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | No marketing threshold met.
Kansas City,Missouri,39.0997,-94.5786,Baseline,0.000,0.280,7.45,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.280 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.5 (threshold 8) | No marketing threshold met.
Chesterfield,Missouri,38.6631,-90.5771,Baseline,0.000,0.366,7.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.366 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | No marketing threshold met.
Saint Charles,Missouri,38.7839,-90.4812,Baseline,0.000,0.248,7.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.248 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.2 (threshold 8) | No marketing threshold met.
Springfield,Missouri,37.2153,-93.2982,Baseline,0.000,0.008,7.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.008 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.6 (threshold 8) | No marketing threshold met.
Madison,Mississippi,32.4618,-90.1154,Sun Protection (Hats/Shirts),0.000,0.004,8.00,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.004 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.0 (threshold 8) | Triggered by: UV 8.0
Gulfport,Mississippi,30.3674,-89.0928,Baseline,0.000,0.130,7.15,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.130 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.2 (threshold 8) | No marketing threshold met.
Hattiesburg,Mississippi,31.3271,-89.2903,Sun Protection (Hats/Shirts),0.098,0.067,8.05,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.098 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.067 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.1 (threshold 8) | Triggered by: UV 8.1
Jackson,Mississippi,32.2988,-90.1848,Sun Protection (Hats/Shirts),0.000,0.028,8.05,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.028 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 8.1 (threshold 8) | Triggered by: UV 8.1
Southaven,Mississippi,34.9890,-90.0126,Baseline,0.000,0.000,7.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.8 (threshold 8) | No marketing threshold met.
Bozeman,Montana,45.6797,-111.0386,Baseline,0.000,0.020,6.10,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.1 (threshold 8) | No marketing threshold met.
Billings,Montana,45.7833,-108.5007,Baseline,0.016,0.000,6.20,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.2 (threshold 8) | No marketing threshold met.
Great Falls,Montana,47.5002,-111.3008,Baseline,0.000,0.008,6.20,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.008 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.2 (threshold 8) | No marketing threshold met.
Missoula,Montana,46.8721,-113.9940,Baseline,0.000,0.020,6.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.020 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Kalispell,Montana,48.1958,-114.3129,Baseline,0.000,0.323,6.05,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.323 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.0 (threshold 8) | No marketing threshold met.
Charlotte,North Carolina,35.2271,-80.8431,Baseline,0.000,0.087,7.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.087 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.7 (threshold 8) | No marketing threshold met.
Raleigh,North Carolina,35.7721,-78.6386,Baseline,0.000,0.280,7.25,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.280 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.2 (threshold 8) | No marketing threshold met.
Durham,North Carolina,35.9940,-78.8986,Baseline,0.071,0.240,7.20,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.071 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.240 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.2 (threshold 8) | No marketing threshold met.
Wilmington,North Carolina,34.2356,-77.9460,Baseline,0.000,0.075,7.90,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.075 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.9 (threshold 8) | No marketing threshold met.
Chapel Hill,North Carolina,35.9132,-79.0558,Baseline,0.031,0.209,7.75,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.031 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.209 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.8 (threshold 8) | No marketing threshold met.
Fargo,North Dakota,46.8772,-96.7898,Baseline,0.000,0.000,6.55,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.5 (threshold 8) | No marketing threshold met.
West Fargo,North Dakota,46.8750,-96.9004,Baseline,0.000,0.000,6.50,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.5 (threshold 8) | No marketing threshold met.
Bismarck,North Dakota,46.8083,-100.7837,Baseline,0.000,0.000,6.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.6 (threshold 8) | No marketing threshold met.
Dickinson,North Dakota,46.8792,-102.7896,Baseline,0.000,0.028,6.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.028 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.6 (threshold 8) | No marketing threshold met.
Grand Forks,North Dakota,47.9253,-97.0328,Baseline,0.000,0.000,6.20,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.2 (threshold 8) | No marketing threshold met.
Omaha,Nebraska,41.2563,-95.9404,Baseline,0.016,0.409,7.35,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.409 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | No marketing threshold met.
Lincoln,Nebraska,40.8000,-96.6670,Baseline,0.000,0.319,7.40,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.319 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.4 (threshold 8) | No marketing threshold met.
Elkhorn,Nebraska,41.3450,-96.2560,Scale Umbrellas,0.283,0.390,7.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.283 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.390 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | Triggered by: forecast precip ≥ 0.20 in
Bellevue,Nebraska,41.1367,-95.8908,Scale Umbrellas (Residual Demand),0.000,0.543,7.30,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.543 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Papillion,Nebraska,41.1544,-96.0422,Scale Umbrellas (Residual Demand),0.000,0.504,7.35,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.504 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 7.3 (threshold 8) | Triggered by: previous-day rain ≥ 0.50 in
Manchester,New Hampshire,42.9956,-71.4548,Baseline,0.000,0.000,0.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.6 (threshold 8) | No marketing threshold met.
Nashua,New Hampshire,42.7654,-71.4676,Baseline,0.000,0.000,0.65,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.7 (threshold 8) | No marketing threshold met.
Hampton,New Hampshire,42.9376,-70.8389,Baseline,0.016,0.000,0.70,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.7 (threshold 8) | No marketing threshold met.
Portsmouth,New Hampshire,43.0770,-70.7577,Baseline,0.016,0.000,0.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.6 (threshold 8) | No marketing threshold met.
Exeter,New Hampshire,42.9815,-70.9478,Baseline,0.000,0.000,0.60,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.000 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 0.6 (threshold 8) | No marketing threshold met.
Jersey City,New Jersey,40.7282,-74.0776,Baseline,0.000,0.004,6.85,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.000 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.004 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
Hoboken,New Jersey,40.7440,-74.0324,Baseline,0.016,0.004,6.85,Next-24h precip (Open-Meteo 24h model (NWS fallback)) 0.016 in (umbrella threshold 0.20 in; heavy 0.50 in) | Previous-24h rain (Open-Meteo archive) 0.004 in (residual threshold 0.50 in) | Daily max UV (Open-Meteo) 6.8 (threshold 8) | No marketing threshold met.
