Date,Region,City,State,Lat,Lon,Umbrella_Revenue,Umbrella_Units,Non_Umbrella_Revenue,Non_Umbrella_Units,Observed_Precip_In,Is_Rainy,Verified_Match
2026-09-03,US,Bellevue,Washington,47.6104,-122.2007,62.8,0,0.0,0.0,0.2795275590551181,True,True
2026-09-03,US,Bentonville,Arkansas,36.3728,-94.2088,32.14,0,0.0,0.0,0.0,False,False
2026-09-03,US,Berkley,Massachusetts,41.8459,-71.0828,24.1,0,0.0,0.0,0.4448818897637795,True,True
2026-09-03,US,Bethesda,Maryland,38.9807,-77.1003,89.67,0,0.0,0.0,0.1692913385826771,False,False
2026-09-03,US,Billings,Montana,45.7833,-108.5007,14.72,0,0.0,0.0,0.0,False,False
2026-09-03,US,Birmingham,Alabama,33.5207,-86.8025,85.78,0,0.0,0.0,0.0433070866141732,False,False
2026-09-03,US,Bismarck,North Dakota,46.8083,-100.7837,6.3500000000000005,0,0.0,0.0,0.2401574803149606,True,True
2026-09-03,US,Bloomfield Hills,Michigan,42.5836,-83.2455,41.78,0,0.0,0.0,0.9291338582677166,True,True
2026-09-03,US,Bloomington,Indiana,39.1653,-86.5264,33.89,0,0.0,0.0,0.0,False,False
2026-09-03,US,Boca Raton,Florida,26.3587,-80.0831,138.42,0,0.0,0.0,0.7401574803149606,True,True
2026-09-03,US,Boise,Idaho,43.6135,-116.2034,38.41,0,0.0,0.0,0.0669291338582677,False,False
2026-09-03,US,Boston,Massachusetts,42.3584,-71.0598,229.35,3,0.0,0.0,0.2755905511811024,True,True
2026-09-03,US,Bowling Green,Kentucky,36.9903,-86.4436,15.83,0,0.0,0.0,0.0551181102362204,False,False
2026-09-03,US,Bozeman,Montana,45.6796,-111.0386,11.39,0,0.0,0.0,0.0,False,False
2026-09-03,US,Broken Arrow,Oklahoma,36.0526,-95.7908,20.48,0,0.0,0.0,0.0,False,False
2026-09-03,US,Bronx,New York,40.8499,-73.8664,104.54,0,0.0,0.0,0.4291338582677165,True,True
2026-09-03,US,Brooklyn,New York,40.6501,-73.9496,903.27,56,0.0,0.0,0.3503937007874015,True,True
2026-09-03,US,Burlington,Vermont,44.4759,-73.2121,8.37,0,0.0,0.0,0.8149606299212598,True,True
2026-09-03,US,Cambridge,Massachusetts,42.3751,-71.1056,82.34,0,0.0,0.0,0.2755905511811024,True,True
2026-09-03,US,Carmel,Indiana,39.9784,-86.118,62.64,0,0.0,0.0,0.0433070866141732,False,False
2026-09-03,US,Carson City,Nevada,39.1638,-119.7674,5.13,0,0.0,0.0,0.0,False,False
2026-09-03,US,Casper,Wyoming,42.8666,-106.3131,2.44,0,0.0,0.0,0.0,False,False
2026-09-03,US,Cedar Rapids,Iowa,42.0083,-91.6441,22.93,0,0.0,0.0,0.0354330708661417,False,False
2026-09-03,US,Chapel Hill,North Carolina,35.9132,-79.0558,54.08,0,0.0,0.0,0.0236220472440944,False,False
2026-09-03,US,Charleston,South Carolina,32.7763,-79.9328,74.26,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Charleston,West Virginia,38.3498,-81.6326,9.86,0,0.0,0.0,0.0,False,False
2026-09-03,US,Charlotte,North Carolina,35.2271,-80.8431,243.8,3,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Chattanooga,Tennessee,35.0456,-85.3097,42.43,0,0.0,0.0,0.0866141732283464,False,False
2026-09-03,US,Chesterfield,Missouri,38.6631,-90.5771,35.589999999999996,0,0.0,0.0,0.0,False,False
2026-09-03,US,Cheyenne,Wyoming,41.14,-104.8202,11.63,0,0.0,0.0,0.0,False,False
2026-09-03,US,Chicago,Illinois,41.85,-87.65,678.68,37,0.0,0.0,0.4409448818897637,True,True
2026-09-03,US,Cincinnati,Ohio,39.1271,-84.5144,171.47,0,0.0,0.0,0.0354330708661417,False,False
2026-09-03,US,Cleveland,Ohio,41.4995,-81.6954,34.589999999999996,0,0.0,0.0,0.3897637795275591,True,True
2026-09-03,US,Cody,Wyoming,44.5263,-109.0565,3.22,0,0.0,0.0,0.0,False,False
2026-09-03,US,Coeur D'Alene,Idaho,47.6777,-116.7805,2.39,0,0.0,0.0,0.2204724409448818,True,True
2026-09-03,US,Colorado Springs,Colorado,38.8339,-104.8214,67.05,0,0.0,0.0,0.0,False,False
2026-09-03,US,Columbia,South Carolina,34.0007,-81.0348,53.19,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Columbus,Ohio,39.9612,-82.9988,143.09,0,0.0,0.0,0.0551181102362204,False,False
2026-09-03,US,Cordova,Alaska,60.5432,-145.7587,6.87,0,0.0,0.0,0.0,False,False
2026-09-03,US,Cranston,Rhode Island,41.7798,-71.4373,9.64,0,0.0,0.0,0.3464566929133859,True,True
2026-09-03,US,Dallas,Texas,32.7831,-96.8067,346.76,3,0.0,0.0,0.1574803149606299,False,False
2026-09-03,US,Dayton,Ohio,39.759,-84.1916,54.57,0,0.0,0.0,0.0826771653543307,False,False
2026-09-03,US,Decatur,Georgia,33.7748,-84.2963,46.08,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Denver,Colorado,39.7392,-104.9847,129.8,0,0.0,0.0,0.0,False,False
2026-09-03,US,Des Moines,Iowa,41.6005,-93.6091,15.6,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Dickinson,North Dakota,46.8792,-102.7896,6.03,0,0.0,0.0,0.3976377952755905,True,True
2026-09-03,US,Downers Grove,Illinois,41.8089,-88.0112,33.37,0,0.0,0.0,0.2244094488188976,True,True
2026-09-03,US,Doylestown,Pennsylvania,40.3101,-75.1299,37.33,0,0.0,0.0,0.3031496062992126,True,True
2026-09-03,US,Dublin,Ohio,40.0992,-83.1141,37.660000000000004,0,0.0,0.0,0.0433070866141732,False,False
2026-09-03,US,Durham,North Carolina,35.994,-78.8986,51.46,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Eagle,Idaho,43.6954,-116.354,10.37,0,0.0,0.0,0.1929133858267716,False,False
2026-09-03,US,Eagle Mountain,Utah,40.3144,-111.9849,3.0900000000000003,0,0.0,0.0,0.0,False,False
2026-09-03,US,East Greenwich,Rhode Island,41.6604,-71.4559,8.540000000000001,0,0.0,0.0,0.484251968503937,True,True
2026-09-03,US,Eden Prairie,Minnesota,44.8547,-93.4708,18.87,0,0.0,0.0,0.1535433070866141,False,False
2026-09-03,US,Edmond,Oklahoma,35.6528,-97.4781,87.76,0,0.0,0.0,0.0,False,False
2026-09-03,US,Eliot,Maine,43.1531,-70.8001,5.38,0,0.0,0.0,0.1141732283464566,False,False
2026-09-03,US,Elkhorn,Nebraska,41.345,-96.256,13.53,0,0.0,0.0,0.2204724409448818,True,True
2026-09-03,US,Essex Junction,Vermont,44.4906,-73.111,5.61,0,0.0,0.0,0.9881889763779528,True,True
2026-09-03,US,Eugene,Oregon,44.0521,-123.0868,29.63,0,0.0,0.0,0.3779527559055118,True,True
2026-09-03,US,Evanston,Illinois,42.0411,-87.6901,41.01,0,0.0,0.0,0.1968503937007873,False,False
2026-09-03,US,Ewa Beach,Hawaii,21.3156,-158.0072,38.11,0,0.0,0.0,0.0157480314960629,False,False
2026-09-03,US,Exeter,New Hampshire,42.9815,-70.9478,8.59,0,0.0,0.0,0.0708661417322834,False,False
2026-09-03,US,Fairbanks,Alaska,64.8378,-147.7164,5.21,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Fairfax,Virginia,38.8462,-77.3064,67.72,0,0.0,0.0,0.1496062992125984,False,False
2026-09-03,US,Fairfield,Connecticut,41.1412,-73.2637,35.99,0,0.0,0.0,0.3110236220472441,True,True
2026-09-03,US,Fairhope,Alabama,30.523,-87.9033,22.62,0,0.0,0.0,0.1889763779527559,False,False
2026-09-03,US,Falmouth,Maine,43.7295,-70.242,9.64,0,0.0,0.0,0.8897637795275591,True,True
2026-09-03,US,Fargo,North Dakota,46.8772,-96.7898,15.14,0,0.0,0.0,0.2755905511811024,True,True
2026-09-03,US,Fayetteville,Arkansas,36.0626,-94.1574,21.75,0,0.0,0.0,0.0,False,False
2026-09-03,US,Fort Collins,Colorado,40.5853,-105.0844,32.18,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Fort Wayne,Indiana,41.1306,-85.1289,47.12,0,0.0,0.0,0.0511811023622047,False,False
2026-09-03,US,Fort Worth,Texas,32.7254,-97.3208,144.23,0,0.0,0.0,0.0314960629921259,False,False
2026-09-03,US,Franklin,Tennessee,35.9251,-86.8689,69.52,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Gilbert,Arizona,33.3528,-111.789,30.94,0,0.0,0.0,0.0354330708661417,False,False
2026-09-03,US,Grand Forks,North Dakota,47.9253,-97.0328,2.04,0,0.0,0.0,0.2913385826771654,True,True
2026-09-03,US,Grand Rapids,Michigan,42.9634,-85.6681,69.76,0,0.0,0.0,0.3385826771653543,True,True
2026-09-03,US,Great Falls,Montana,47.5002,-111.3008,6.83,0,0.0,0.0,0.0,False,False
2026-09-03,US,Greenville,South Carolina,34.8526,-82.394,82.73,0,0.0,0.0,0.1259842519685039,False,False
2026-09-03,US,Greenwich,Connecticut,41.0265,-73.6285,97.42,0,0.0,0.0,0.5118110236220472,True,True
2026-09-03,US,Gulfport,Mississippi,30.3674,-89.0928,15.02,0,0.0,0.0,0.1023622047244094,False,False
2026-09-03,US,Hampton,New Hampshire,42.9376,-70.8389,13.49,0,0.0,0.0,0.0590551181102362,False,False
2026-09-03,US,Hattiesburg,Mississippi,31.3271,-89.2903,8.290000000000001,0,0.0,0.0,0.0826771653543307,False,False
2026-09-03,US,Henderson,Nevada,36.0397,-114.9819,51.17,2,0.0,0.0,0.0,False,False
2026-09-03,US,Hoboken,New Jersey,40.744,-74.0324,69.99,0,0.0,0.0,0.4094488188976378,True,True
2026-09-03,US,Honolulu,Hawaii,21.3069,-157.8583,192.65,0,0.0,0.0,0.0590551181102362,False,False
2026-09-03,US,Houston,Texas,29.7633,-95.3633,639.45,18,0.0,0.0,1.204724409448819,True,True
2026-09-03,US,Huntington,West Virginia,38.4192,-82.4452,11.55,0,0.0,0.0,0.0,False,False
2026-09-03,US,Huntsville,Alabama,34.7304,-86.5859,68.62,0,0.0,0.0,0.0078740157480314,False,False
2026-09-03,US,Hurricane,West Virginia,38.4326,-82.0201,5.99,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Hyde Park,Vermont,44.5939,-72.6165,4.75,0,0.0,0.0,0.9645669291338582,True,True
2026-09-03,US,Indianapolis,Indiana,39.7684,-86.158,111.24,0,0.0,0.0,0.0393700787401574,False,False
2026-09-03,US,Iowa City,Iowa,41.6611,-91.5302,16.81,0,0.0,0.0,0.0118110236220472,False,False
2026-09-03,US,Jackson,Mississippi,32.2988,-90.1848,9.26,0,0.0,0.0,0.0590551181102362,False,False
2026-09-03,US,Jersey City,New Jersey,40.7282,-74.0776,135.27,0,0.0,0.0,0.4094488188976378,True,True
2026-09-03,US,Jonesboro,Arkansas,35.8423,-90.7043,21.71,0,0.0,0.0,0.0118110236220472,False,False
2026-09-03,US,Kailua,Hawaii,21.4024,-157.7405,26.82,0,0.0,0.0,0.1692913385826771,False,False
2026-09-03,US,Kalispell,Montana,48.1958,-114.3129,8.32,0,0.0,0.0,0.0787401574803149,False,False
2026-09-03,US,Kaneohe,Hawaii,21.3999,-157.799,24.5,0,0.0,0.0,0.1692913385826771,False,False
2026-09-03,US,Kansas City,Missouri,39.0997,-94.5786,68.06,0,0.0,0.0,0.0,False,False
2026-09-03,US,Knoxville,Tennessee,35.9606,-83.9207,95.31,0,0.0,0.0,0.0118110236220472,False,False
2026-09-03,US,Kuna,Idaho,43.4918,-116.4201,17.49,0,0.0,0.0,0.1496062992125984,False,False
2026-09-03,US,Lafayette,Louisiana,30.2241,-92.0198,56.44,0,0.0,0.0,0.1535433070866141,False,False
2026-09-03,US,Lake Oswego,Oregon,45.4207,-122.6706,41.71,0,0.0,0.0,0.7362204724409448,True,True
2026-09-03,US,Lancaster,Pennsylvania,40.0379,-76.3055,41.71,0,0.0,0.0,0.2598425196850393,True,True
2026-09-03,US,Las Cruces,New Mexico,32.3123,-106.7783,16.52,0,0.0,0.0,0.0511811023622047,False,False
2026-09-03,US,Las Vegas,Nevada,36.175,-115.1372,139.01,0,0.0,0.0,0.0,False,False
2026-09-03,US,Lawrence,Kansas,38.9717,-95.2352,16.14,0,0.0,0.0,0.0,False,False
2026-09-03,US,Leawood,Kansas,38.9667,-94.6169,14.85,0,0.0,0.0,0.0,False,False
2026-09-03,US,Lennox,South Dakota,43.3541,-96.892,4.29,0,0.0,0.0,0.3937007874015747,True,True
2026-09-03,US,Lewes,Delaware,38.7746,-75.1393,21.22,0,0.0,0.0,0.3503937007874015,True,True
2026-09-03,US,Lexington,Kentucky,37.9887,-84.4777,83.62,0,0.0,0.0,0.0275590551181102,False,False
2026-09-03,US,Lincoln,Nebraska,40.8,-96.667,24.37,0,0.0,0.0,0.0,False,False
2026-09-03,US,Little Rock,Arkansas,34.7465,-92.2896,59.05,0,0.0,0.0,0.0039370078740157,False,False
2026-09-03,US,Littleton,Colorado,39.6133,-105.0166,37.64,0,0.0,0.0,0.0,False,False
2026-09-03,US,Los Alamos,New Mexico,35.8881,-106.307,7.43,0,0.0,0.0,0.358267716535433,True,True
2026-09-03,US,Los Angeles,California,34.0522,-118.2437,558.95,28,0.0,0.0,0.0,False,False
2026-09-03,US,Louisville,Kentucky,38.2542,-85.7594,121.12,0,0.0,0.0,0.0,False,False
2026-09-03,US,Macomb,Michigan,42.7009,-82.9591,21.59,0,0.0,0.0,0.8543307086614172,True,True
2026-09-03,US,Madison,Alabama,34.6993,-86.7483,27.01,0,0.0,0.0,0.0078740157480314,False,False
